DAY_TYPE,TIME_PER_HOUR,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,17,Farrer Park,Sengkang,1603
WEEKDAY,18,Clarke Quay,Farrer Park,1601
WEEKDAY,12,Farrer Park,Little India,1601
WEEKDAY,20,Farrer Park,Hougang,1599
WEEKDAY,9,Punggol,Chinatown,1595
WEEKDAY,8,Hougang,Punggol,1595
WEEKDAY,16,Dhoby Ghaut,Serangoon,1595
WEEKDAY,19,Kovan,Hougang,1595
WEEKDAY,18,HarbourFront,Dhoby Ghaut,1594
WEEKDAY,6,Sengkang,Boon Keng,1594
WEEKDAY,12,Boon Keng,Serangoon,1594
WEEKDAY,17,Little India,Punggol,1593
WEEKDAY,19,Potong Pasir,Serangoon,1592
WEEKDAY,7,Hougang,Serangoon,1591
WEEKDAY,7,Sengkang,Farrer Park,1591
WEEKDAY,18,Clarke Quay,Buangkok,1590
WEEKDAY,15,Farrer Park,Boon Keng,1590
WEEKDAY,20,Dhoby Ghaut,Kovan,1589
WEEKDAY,7,Boon Keng,Hougang,1588
WEEKDAY,6,Hougang,Potong Pasir,1585
WEEKDAY,8,Boon Keng,Serangoon,1583
WEEKDAY,10,Sengkang,Chinatown,1582
WEEKDAY,18,Hougang,Kovan,1581
WEEKDAY,17,Sengkang,Buangkok,1580
WEEKDAY,18,Buangkok,Sengkang,1578
WEEKDAY,15,Sengkang,Serangoon,1575
WEEKDAY,6,Punggol,Boon Keng,1573
WEEKDAY,17,Sengkang,Kovan,1570
WEEKDAY,17,Chinatown,Boon Keng,1570
WEEKDAY,17,HarbourFront,Punggol,1567
WEEKDAY,6,Buangkok,Hougang,1567
WEEKDAY,6,Punggol,Kovan,1566
WEEKDAY,18,HarbourFront,Kovan,1565
WEEKDAY,13,Hougang,Serangoon,1555
WEEKDAY,18,Outram Park,Chinatown,1554
WEEKDAY,17,Dhoby Ghaut,Kovan,1554
WEEKDAY,9,Serangoon,Boon Keng,1553
WEEKDAY,8,Punggol,Serangoon,1551
WEEKDAY,19,Potong Pasir,Sengkang,1549
WEEKDAY,21,Dhoby Ghaut,Kovan,1548
WEEKDAY,20,Serangoon,Buangkok,1547
WEEKDAY,8,Punggol,Farrer Park,1547
WEEKDAY,18,HarbourFront,Little India,1543
WEEKDAY,17,Serangoon,Farrer Park,1543
WEEKDAY,19,Dhoby Ghaut,Kovan,1542
WEEKDAY,21,Dhoby Ghaut,Buangkok,1540
WEEKDAY,14,Serangoon,Hougang,1540
WEEKDAY,16,Sengkang,Buangkok,1539
WEEKDAY,18,Clarke Quay,Dhoby Ghaut,1538
WEEKDAY,6,Sengkang,HarbourFront,1536
WEEKDAY,7,Little India,Outram Park,1535
WEEKDAY,21,Hougang,Sengkang,1535
WEEKDAY,16,Farrer Park,Boon Keng,1534
WEEKDAY,12,Sengkang,Hougang,1534
WEEKDAY,17,Chinatown,Farrer Park,1533
WEEKDAY,12,Hougang,Serangoon,1533
WEEKDAY,11,Sengkang,Serangoon,1532
WEEKDAY,9,Serangoon,Farrer Park,1532
WEEKDAY,7,Hougang,Woodleigh,1531
WEEKDAY,17,Outram Park,Farrer Park,1530
WEEKDAY,19,Kovan,Punggol,1529
WEEKDAY,10,Boon Keng,Little India,1529
WEEKDAY,13,Kovan,Serangoon,1527
WEEKDAY,18,Potong Pasir,Farrer Park,1527
WEEKDAY,17,Farrer Park,Serangoon,1526
WEEKDAY,15,Hougang,Serangoon,1524
WEEKDAY,13,Punggol,Hougang,1523
WEEKDAY,17,Clarke Quay,Punggol,1521
WEEKDAY,21,Farrer Park,Sengkang,1521
WEEKDAY,17,Buangkok,Sengkang,1519
WEEKDAY,13,Boon Keng,Little India,1518
WEEKDAY,17,Outram Park,Chinatown,1517
WEEKDAY,20,Boon Keng,Serangoon,1516
WEEKDAY,13,HarbourFront,Outram Park,1513
WEEKDAY,14,Sengkang,Buangkok,1512
WEEKDAY,14,Potong Pasir,Serangoon,1511
WEEKDAY,20,Dhoby Ghaut,Buangkok,1510
WEEKDAY,20,Boon Keng,Sengkang,1510
WEEKDAY,20,Little India,Sengkang,1510
WEEKDAY,19,Farrer Park,Hougang,1508
WEEKDAY,10,Sengkang,Kovan,1506
WEEKDAY,9,Hougang,Punggol,1504
WEEKDAY,11,Hougang,Chinatown,1503
WEEKDAY,17,HarbourFront,Serangoon,1502
WEEKDAY,15,Serangoon,Hougang,1502
WEEKDAY,12,Buangkok,Sengkang,1499
WEEKDAY,21,Kovan,Sengkang,1496
WEEKDAY,14,Hougang,Serangoon,1496
WEEKDAY,16,Dhoby Ghaut,Hougang,1494
WEEKDAY,8,Buangkok,HarbourFront,1494
WEEKDAY,7,Buangkok,Serangoon,1488
WEEKDAY,8,Sengkang,Woodleigh,1486
WEEKDAY,21,Chinatown,Serangoon,1485
WEEKDAY,18,Dhoby Ghaut,Buangkok,1484
WEEKDAY,8,Dhoby Ghaut,Outram Park,1480
WEEKDAY,11,Boon Keng,Chinatown,1480
WEEKDAY,17,Kovan,Hougang,1478
WEEKDAY,20,Little India,Hougang,1477
WEEKDAY,9,Boon Keng,Little India,1477
WEEKDAY,22,Dhoby Ghaut,Serangoon,1476
WEEKDAY,8,Hougang,Kovan,1475
WEEKDAY,9,Sengkang,Dhoby Ghaut,1474
WEEKDAY,13,Sengkang,Buangkok,1474
WEEKDAY,9,Sengkang,Clarke Quay,1474
WEEKDAY,19,Little India,Punggol,1474
WEEKDAY,7,Serangoon,Clarke Quay,1472
WEEKDAY,7,Kovan,Potong Pasir,1472
